"Zeitstempel","How do you currently plan your flights?","Which tools do you use simultaneously during planning?","Which steps do you find annoying or time-consuming?","How long does your typical flight planning take?","What would a new tool need to do significantly better for you to switch?","What frustrates you about SimBrief or similar tools?","What makes a flight planning tool truly good for you?","How important is the visual quality of such a tool to you?","How important is weather in your flight planning?","Which weather information do you actively check?","If FlightPlanner could solve only ONE problem, 
which would be the most valuable?","Which parts of flight planning do you want to control yourself?","Which tasks would you like to automate?","How often do you fly per week?","How often do you actively plan new routes?","For which flights would the tool be unnecessary?","Which types of flights require the most planning?","Which features do you automatically expect from a professional tool?","Which integration would be absolutely essential for you?","What would happen if a tool didn’t support SimBrief export?","Which simulators do you use?","Which users would benefit the most from FlightPlanner?"
"2026/05/14 11:32:14 AM OESZ","SimBrief","SimBrief","Creating the route","30 min to 1 hour","Performance, Nice UI","Nothing","Many export options (FMC/CDU)","Important","Not important","METAR","Routing","Route generation","Route generation","1","1","VFR Flights","IFR Flights","Route in seconds","FMC of PMDG Boeing 737 ","Nothing","Microsoft Flight Simulator 2020/2024","IFR Pilots"
"2026/05/14 11:51:23 AM OESZ","Manual","Microsoft Flight Simulator - Flight Planner","Inserting Waypoints","45 minutes","Nice UI","Bad UI","Reliable route ","Important","Not important","METAR","Routing","Route creation","Route creation","3","3","VFR","IFR","Automatic route creation","FMC of A320","?","Microsoft Flight Simulator 2020/2024","IFR online pilots (VATSIM/IVAO)"
"2026/05/14 5:07:01 PM OESZ","Using flight planning software","SimBrief;Microsoft Flight Simulator - Flight Planner;PFPX","Switching between tools checked in the previous question","10 to 30 minutes depending on the level of detail I'd like to plan","Re-dispatch, route optimisation (time vs fuel vs airspace usage vs multi-leg), tankering calculations, offline functionality, TOPCAT like integration for aircraft performance calculations. Basically a PFPX replacement would be perfect that supports newer MSFS and aircraft (both default and third-party).","Lacking A LOT of functionality required for proper planning.","That which replicates real world tools","Important","Important","Real time aviation weather sources","Clarity","Almost all of it as that's what real tools allows you","Fetching weather, NOTAMs, recent real world routing (if available)","4","4","GA","IFR","Already answered in a previous question","Navigraph or LIDO","Doesn't matter, want to stop using Simbrief anyway","Microsoft Flight Simulator 2020/2024","Those that like to emulate the real world or prefer to use real world like tools for simulation"
"2026/05/15 8:10:41 AM OESZ","simbrief","SimBrief","deciding which route to fly","10 minutes","METAR generator when an airport is typed in","switching back and forth between KG and LB. Would be nice if both are shown","when it presents you all the information needed without switching back and forth between pages","Important","Important","METAR","Clarity","none. i prefer ""auto""","ZFW/ZFWCG and TOW/MACTOW","depends. Flight planning is a mood killer","every time I fly","none","all flights","similar to PFPX","navigraph and vatsim","i will stick with simbrief","Microsoft Flight Simulator 2020/2024","serious simmers"
"2026/05/15 11:07:05 AM OESZ","with passion","SimBrief;my real world tools","none","ranges from a few seconds to 10 mins","what are you offering?","none - they do exactly as I had in my day time job","reliability","Not important","Important","all of it.","why are all of the questions required?","all","all","daily","most all times","quick circuit","high density areas","I use a professional too.  simbrief does pretty muchb the same stuff.","one that I can skip steps on - unlike this interrogation","it wouldnt support export.","Microsoft Flight Simulator 2020/2024;","pilots.  "
"2026/05/15 4:36:10 PM OESZ","Little Navmap","Microsoft Flight Simulator - Flight Planner;Little Navmap","None","5 minutes","Creating plans and maps","The lack of preview","simplicity","Important","Not important","clouds and wind speed","Routing","The route","Selecting and adding waypoints and used frequencies","3","not much","short VFR flights in wellknown areas","IFR to busy and great airports","Adding waypoints or be able to add them","None","Nothing","Microsoft Flight Simulator 2020/2024;FlightGear","Probably the one using Vatsim"
"2026/05/16 3:05:29 AM OESZ","MS Flight Planner","Microsoft Flight Simulator - Flight Planner","wrong or missing approaches etc","2 to 20 min","easier overview of realistic routes","missing data in flight planner, SimBrief is old-fashioned with a horrible usability","easy way to plan realiastic routes, easy way to plan alternatives - good maps, detailed maps","Important","Not important","MS live weather","Routing","routing, above all realistic procedures around airports (start, landing, descend, approach, depart etc)","routing between climb and descend","8 to 10","5 to 7","VFR","longhaul flights","a routing depending on an chosen aircraft, weight, range, load","MSFS","It would makes me happy - SimBrief is outdated and very expensive (Navigraph)","Microsoft Flight Simulator 2020/2024","all, if it would be developped further and more detailed"
"2026/05/16 5:41:40 AM OESZ","PFPX","PFPX","Payload planning when weight restricted","30-60 minutes","Ability to customize OFP format.","Inability to customize OFP format.","The ability to properly plan a flight.","Important","Important","Aviation Weather website","Customizable OFP formats","The airports to fly to.","Optimum routes.","3","Not much.","Not sure.","Long-haul flights.","Ability to customize OFP format, ETOPS, redispatch.","Huh?","People might start a riot.","P3D V5","People who properly plan flights."
"2026/05/16 9:02:40 AM OESZ","Pen and Paper and SkyVector","SkyVector","-","few minutes"," -","i dont use such a tool","-","Not important","Important","Meta on departure and arrival","Weather","all","Show frequenz of ATC","5 Times ~ 20 hours","every flight"," -","all the same","dont need a professional toll because i fly in a simulator","Actuelly weather information","-","X-Plane;FlightGear","-"
"2026/05/16 2:28:09 PM OESZ","I use SimBrief, though I still have PFPX installed but I rarely use it. If no proposed route exists I build it on my own, carefully checking for Eurocontrol IFPS compliance (I only fly in Europe). I'm looking for realistic dispatch with advanced options like redispatch, tankering.","SimBrief","Frankly, none. I enjoy planning flights and comparing for best route.","If a route exist or I have one saved, 2-3 minutes. If non exist and there are some RAD restrictions I need to resolve could be 15-20 minutes.","It would need all the advanced dispatch options, like redispatch, tankering. I also love good weather information, especially a good GRAMET (or cross-section chart to see what will I climb/descent through).","Lack of redispatch, tankering. Poor cross-section wx chart","1:1 (or close to) to a real dispatch software.","Important","Important","A lot of, using Windy or Autorouter's GRAMET, I check for the enroute and terminal weather, wind, icing, CAT, clouds, visibility, precipitation","Weather","Most","Optimal flight level, alternates, suitable airports etc.","2-3","Most of the time","All","IFR","All advanced dispatch options that exist in real world","Export so I can load routes in MSFS","Well, I would still want to export routes.","Microsoft Flight Simulator 2020/2024","Those that strive for most realism"
